player_name,round_2_in,round_2_out,round_3_in,round_3_out,round_4_in,round_4_out,round_5_in,round_5_out,round_6_in,round_6_out
Conor Stone,44,3667,127,712,238,232,50,1583,109,1757
Archie Perkins,23,14,2,112,2,64,12,61,8,4
Max Heath,23,188,101,132,27,154,27,150,53,36
Max Holmes,1024,23,244,253,1913,25,248,512,1818,10
Saad El-Hawli,100,923,1978,272,531,409,3098,139,13148,17
Luke Cleary,13,960,2,450,1,278,23,116,44,14
Wade Derksen,1,0,3,1,1,2,2,3,1,1
Henry Smith,0,5,1,6,1,5,1,6,0,3
Alex Cincotta,0,72,0,47,0,28,0,25,0,8
Shannon Neale,20,10,6,27,1,25,5,24,1,14
Matthew Johnson,28,1,26,14,29,8,10,26,11,6
Judson Clarke,0,22,0,5,0,5,1,6,0,1
Josh Rachele,199,4,390,13,4,678,2,295,2,70
Campbell Chesser,1,38,0,32,0,22,0,20,0,10
Josh Gibcus,8,332,6,178,0,125,7,96,21,29
Toby Conway,1,60,1,29,2,24,0,9,0,9
Zac Taylor,4,34,6,25,1,26,92,16,7,8
Darcy Wilmot,74,3,236,5,40,17,21,25,11,63
Angus McLennan,3,13,1,10,1,10,0,7,0,3
Josh Sinn,71,100,1196,8,523,22,48,371,9,361
Tom Brown,31,24,56,12,42,6,8,62,19,3
Harvey Gallagher,5,1,9,3,2,25,0,45,1,10
Ben Hobbs,23,746,9,1001,3,658,11,137,38,32
Jai Serong,4,31,4,14,2,20,1,14,1,7
Connor Macdonald,32,21,2,306,1,118,3,131,1,42
Miller Bergman,11,12,1,27,4,9,2,13,0,3
Jake Soligo,1165,2,2675,8,2416,10,1603,36,42,887
Josh Ward,86,1,764,1,19,188,963,33,24,264
Tyler Sonsie,1,39,0,12,2,8,5,12,11,1
Josh Goater,0,9,1,5,0,3,0,2,0,1
Blake Howes,7,29,10,12,4,25,1,23,0,3
Ned Long,107,8,28,61,77,29,98,37,2456,3
Sam Darcy,26,97,305,2,354,11,1180,2,193,7
Dante Visentini,3,33,3,23,0,24,4,13,1,15
Francis Evans,3,79,5,18,0,14,0,15,0,6
Mac Andrew,8,201,44,136,29,55,23,65,14,63
Bodhi Uwland,1,107,5,15,11,14,4,14,0,37
Jesse Motlop,36,92,109,8,29,27,19,39,11,29
Judd McVee,0,37,0,10,0,7,0,6,4,6
Rhett Bazzo,1,57,4,38,3,27,7,25,30,2
Jacob van Rooyen,4,34,5,22,1,33,5,22,2,14
Josh Fahey,4,14,5,19,4,12,8,9,1,11
Patrick Voss,5,14,52,6,42,5,26,7,5,25
William Edwards,0,2,1,4,1,2,1,4,4,1
Alwyn Davey Jnr,0,38,1,34,1,12,2,13,1,5
Ryley Sanders,158,2721,122,4538,145,5869,407,617,138,1538
Lance Collard,106,2,222,3,259,7,224,8,16,36
Seamus Mitchell,3,18,3,11,2,21,1,16,1,2
Cooper Sharman,0,9,5,5,10,1,18,1,60,0
Jasper Scaife,1,2,2,2,3,3,1,2,5,2
Jake Rogers,19,48,71,8,7,20,15,41,11,5
Thomas Edwards,415,8,387,3,7,230,7,143,3,54
Brayden Cook,0,2,2,3,0,2,0,2,0,0
Corey Warner,1009,71,2840,385,494,92,110,409,163,394
Taj Woewodin,60,43,23,55,11,44,6,58,3,13
Tylar Young,1,19,0,12,0,7,0,3,0,3
Jayden Nguyen,17,119,7,64,1,64,22,56,61,14
Lucca Grego,2,25,4,18,3,7,3,10,88,2
Thomas Sims ,4,63,5,41,6,31,4,24,8,14
Aaron Cadman,9,107,19,23,16,21,27,23,19,22
Kane McAuliffe,1,38,3,24,0,28,2,26,2,7
Logan Evans,9,766,255,9,17,181,5,488,1,89
Jack Delean,2,2,2,3,4,2,1,4,1,1
Loch Rawlinson,1,14,31,14,7,12,10,4,15,3
Harry Barnett,5,41,6,46,3,39,7,25,8,13
Harry Lemmey,0,2,1,2,0,3,0,1,0,0
Ashton Moir,12,48,13,34,245,24,30,54,28,17
Jakob Ryan,6,9,1,7,1,10,3,9,4,4
Mattaes Phillipou,0,389,3,211,0,116,0,104,0,28
Neil Erasmus,30,82,56,15,32,42,25,111,12,40
Angus Sheldrick,10,381,2,238,16,61,43,46,36,12
Jack Williams,0,3,2,5,5,3,14,1,1,5
Arthur Jones,12,80,8,56,7,38,1,53,7,19
Jye Amiss,11,80,11,48,29,26,20,66,10,92
Darcy Jones,9,150,15,32,6,92,302,10,18,19
Joshua Draper,78,75,47,104,61,102,56,86,23,47
Elijah Hewett,160,1860,155,820,30,4497,3,3103,3,1263
Jai Culley,1,58,5,32,2,23,4,13,4,3
Max Hall,11662,14,2168,174,2682,169,319,1436,164,1569
Oliver Wiltshire,9,6,57,9,9,25,35,11,28,4
Jai Newcombe,56,32,951,7,55,640,520,25,735,14
Toby Murray,1,10,26,5,2,4,1,11,1,3
Daniel Turner,1,4,2,4,5,3,4,1,1,3
Jackson Archer,9,338,12,88,16,42,6,53,1,36
Cooper Harvey,0,2,2,7,3,7,0,5,0,1
Ned Moyle,1,41,0,16,4,15,1,17,1,7
Karl Worner,92,364,42,332,82,103,45,201,155,16
Luke Nankervis,2,29,3,20,15,9,14,8,4,0
Mitch Knevitt,4515,7,3685,165,31,6364,191,772,9,1307
James Tunstill,21,69,93,61,17,40,26,46,507,15
Harry Rowston,0,26,3,17,3,11,2,9,6,7
Jacob Bauer,114,7,19,46,4,77,5,79,4,44
Lachlan McAndrew,1,10,3,8,1,7,0,8,10,2
Lachlan Cowan,145,4,17,56,33,13,0,243,0,68
Mate Colina,7,7,2,11,8,7,6,6,5,0
Tom Cochrane,2,6,346,0,111,28,141,17,476,5
Liam Fawcett,157,2,57,30,32,27,9,33,8,2
William McCabe,3,25,4,14,1,14,7,8,2,4
Tyler Welsh,4,9,2,6,1,3,2,2,3,3
Lucas Camporeale,1728,29,110,8142,54,14775,108,4010,57,2025
Bodie Ryan,3,3,4,8,2,5,9,3,8,1
Benny Barrett ,4,6,0,5,4,0,4,2,1,5
Sid Draper ,132,1871,93,1333,349,392,447,194,59,1192
Oscar Steene,3,9,16,8,3,10,7,5,10,5
Edward Allan,0,97,2,85,3,36,27,27,7,37
Hugh Davies,6,11,4,14,3,12,7,7,9,3
Kaleb Smith,852,46,570,67,697,66,134,189,43,75
Jedd Busslinger,32,54,10,50,6,41,12,29,48,12
Reuben Ginbey,29,29,14,41,13,56,19,42,18,39
Jaren Carr,2,4,7,8,3,1,2,2,1,1
Steely Green,20,30,11,40,12,25,46,18,6,18
Tyrell Dewar,14,18,742,4,71,27,62,33,7,249
Robert Hansen Jr,9,34,29,12,13,35,8,84,24,31
Brady Hough,29,14,48,4,6,28,1,60,3,44
Jed Adams,12,5,2,7,2,6,3,5,11,3
Nick Daicos,219,492,131,2923,2910,73,624,617,10702,29
Finn Callaghan,136,2342,3475,25,354,886,257,2626,86,5528
Marcus Windhager,6,6,196,0,22,39,11,49,22,14
Mitch Owens,17,24,22,2,22,2,7,7,1,11
Seth Campbell,21,6,9,3,22,4,9,2,1,15
Liam Reidy,41,668,15,493,10,352,21,205,9,112
Nick Watson,99,38,130,31,78,127,135,34,16,111
George Wardlaw,0,41,1,22,0,10,3,7,7,2
Cam Mackenzie,31,50,96,14,48,85,512,28,31,96
Matthew Jefferson,129,24,23,100,6,64,9,39,7,19
Lewis Hayes,4,11,11,5,0,11,5,7,8,3
Hudson O'Keeffe,1,15,1,12,2,6,1,3,3,0
Harley Reid,32,1379,40,857,26,782,56,461,61,309
Zane Duursma,5,67,10,72,7,76,59,35,34,14
Oliver Hollands,42,1739,7,5641,11,2454,79,142,107,98
Noah Long,8,25,6,8,7,10,4,19,2,5
Bailey Humphrey,13,130,103,20,1277,1,219,43,64,128
Archie Roberts,59,70,85,124,17,303,120,55,829,3
Will Ashcroft,51,1205,250,643,1739,45,5314,31,822,58
Harry Sheezel,425,63,321,145,82,734,655,112,450,63
Jacob Konstanty,446,39,54,106,73,86,95,67,17,185
Jaxon Binns,2,37,0,27,0,26,1,27,0,13
Hugh Bond,8,36,3,35,2,22,1,19,2,4
Jhye Clark,6,66,9,18,7,54,2,67,1,26
Ted Clohesy,11,123,16916,14,967,242,142,2960,32,2727
Brayden George,0,6,5,5,0,2,1,1,1,0
Riley Hardeman,5,19,0,15,12,13,12,7,5,9
Koltyn Tholstrup,0,6,0,5,0,3,0,2,1,1
Henry Hustwaite,3,1,1,1,2,2,8,5,0,5
George Stevens,1,5,2,6,6,6,3,4,3,1
Jaspa Fletcher,5,71,27,12,14,25,281,10,1346,2
Jed Walter,3,21,14,8,22,4,171,2,5,9
Nicholas Madden,4,7,1,2,1,11,4,4,3,1
Anthony Caminiti,9,4,54,1,39,3,66,8,30,9
Elijah Tsatas,7,1239,7,1196,0,395,6,241,1,102
Daniel Curtin,61,758,190,106,730,52,186,167,39,1188
Caiden Cleary,5,11,59,18,332,3,5464,1,10284,2
Caleb Mitchell,8,24,4,47,7,26,3,21,2,9
Aidan Johnson,60,136,132,17,25,79,9,66,37,35
Reece Torrent,2,6,0,5,2,8,0,4,0,3
Clay Hall,17,92,101,19,209,43,703,18,41,31
Darcy Craven,2,1,2,0,1,3,0,2,0,0
Colby McKercher,36,434,39,837,22,445,26,407,13,1075
Arie Schoenmaker,15,163,20,125,11,104,6,91,1,31
Mitchell Edwards,3,5,0,10,2,10,0,3,0,1
Luker Kentfield,0,1,1,1,0,0,0,0,0,0
Lloyd Johnston,0,6,0,6,1,4,0,3,0,2
Patrick Snell,3,6,7,3,1,6,0,5,8,0
Oisin Mullin,109,33,33,65,70,21,101,9,18,28
Oliver Dempsey,56,15,15,67,8,76,88,12,43,13
Nic Martin,171,48,36,412,2,2538,39,178,1162,14
Will Graham,0,34,8,2,15,5,15,4,5,10
Jacob Molier,1,2,0,1,3,3,1,3,1,1
Alex Dodson ,1,13,2,5,1,5,0,4,0,5
Ethan Read,92,73,823,16,231,41,60,67,36,50
Indhi Kirk,3,4,5,6,0,13,0,4,4,2
Charlie Nicholls,0,14,0,7,0,8,0,6,0,2
Ben Camporeale,17,115,15,31,8,29,30,13,21,10
Angus Clarke ,3,7,3,7,1,9,2,3,1,5
Charlie West,3,7,14,6,4,11,39,4,9,6
Ned Bowman,0,1,1,2,0,6,1,2,0,0
Jay Polkinghorne,3,8,1,4,1,2,1,3,0,0
Cooper Simpson,2,51,26,64,3,31,9,13,18,3
Riak Andrew,2,22,2,14,0,19,2,11,6,3
Harry DeMattia,4,14,3,11,1,4,3,11,2,4
Billy Wilson,12,52,6,49,5,32,16,32,21,15
Tom Hanily,224,148,27,642,389,107,290,77,117,108
Archer Reid,1068,294,862,194,1419,60,964,144,301,220
Max Knobel,3,10,1,3,1,7,1,10,3,2
Lachlan Smith,8,10,9,13,12,10,10,6,2,6
Joel Freijah,9418,12,5070,18,414,531,77,17942,38,5478
Luamon Lual,5,12,1,16,1,28,5,7,9,4
Will White,8,21,3,7,795,5,545,5,750,3
Geordie Payne,2,11,26,8,8,14,6,6,7,3
Hugo Garcia,159,9875,106,7407,1768,71,273,2130,242,1045
Caleb Windsor,9,95,0,134,10,51,14,14,10,7
Iliro Smit,0,0,1,3,1,7,0,1,0,2
Joe Pike,4,2,4,2,2,3,1,2,4,3
Tom Anastasopoulos,0,10,0,4,0,7,1,9,1,2
Angus Hastie,53,6371,67,1265,242,456,139,324,246,140
Darcy Wilson,543,8,58,116,44,80,90,69,29,122
Connor O'Sullivan,663,142,5155,16,547,158,1607,57,113,727
Oscar Ryan,3,8,2,7,3,7,2,9,4,2
Nate Caddy,13,66,7,204,2,155,17,38,9,42
William Green,1,5,4,2,0,3,1,4,2,1
Max Gruzewski,10,1716,43,617,8,407,7,238,16,165
Harvey Thomas,0,6,0,4,0,3,3,4,4,1
Josh Weddle,73,220,116,89,65,262,83,57,34,34
Kynan Brown,0,23,3,11,0,8,1,5,7,2
Matthew Carroll,4,38,1,29,2,16,688,6,2115,2
Max Ramsden,1,14,1,15,0,6,2,5,0,5
Vigo Visentini,0,3,4,10,3,4,3,4,6,2
Harvey Johnston,7,22,1,35,5,30,2,22,1,12
Toby McMullin,0,1,0,1,1,5,2,1,0,1
Luke Lloyd,0,5,0,3,0,0,0,2,2,0
Ollie Murphy,5,4,1,5,1,7,5,6,2,2
Logan Morris,29,32,36,17,18,18,29,16,36,5
Shadeau Brain,2,11,1,8,1,13,0,6,0,3
Aiden Riddle,6,5,1,2,5,2,4,2,1,4
Coen Livingstone,13,114,43,116,22,46,21,43,22,28
Odin Jones,4,3,1,2,2,5,2,4,1,0
Bo Allan ,177,1716,180,773,49,1415,78,838,89,235
Oliver Hannaford,5,41,13,35,2,62,2,38,0,9
Xavier Ivisic,0,4,1,1,0,0,3,1,1,0
Sam Lalor ,1417,176,483,342,161,1418,477,3593,318,1169
Lachie Jaques,0,12,0,12,0,10,1,3,0,1
Finn O'Sullivan ,96,1796,104,4579,73,8011,77,3784,187,1182
Harry Charleson,5,16,9,10,6,8,7,4,19,5
Jonty Faull,0,8,0,4,2,3,82,5,5,2
Murphy Reid ,505,695,279,255,484,105,615,306,148,2106
Patrick Said,6,26,27,12,6,9,8,3,8,6
Jagga Smith ,2,614,1,343,1,129,1,105,0,42
Zak Johnson,1,10,2,4,1,3,1,2,1,1
Sam Marshall,4,12,1,22,2,12,1,8,317,2
Luke Trainor,4056,55,586,713,1379,133,538,517,721,259
Harry Armstrong ,30,569,78,67,22,228,56,286,2,327
Harry O'Farrell,1,5,0,4,0,2,2,0,3,0
Joe Berry,76,331,67,105,59,193,30,494,5,753
Xavier Lindsay,22714,4,12993,10,19,11839,1089,960,89,1290
Jasper Alger ,3,6,12,4,4,6,5,6,4,2
Tobie Travaglia,30,1123,2414,413,2986,82,1116,369,147,281
Jack Ough,4,28,3,28,5,14,3,15,3,6
Asher Eastham,2,1,1,1,1,1,1,2,0,0
James Barrat,11,25,6,21,8,21,9,21,4,7
Harvey Langford ,28,4814,131,993,2820,46,251,266,222,73
Matt Whitlock,14,68,15,63,1190,23,121,176,61,57
Wil Dawson,5,25,1,14,1,26,2,16,6,3
Isaac Kako,406,572,174,827,61,3791,285,748,81,1184
Levi Ashcroft,9813,89,1756,73,409,246,866,148,789,83
Tom Gross,2,24,6,16,480,5,8248,1,7638,6
Harrison Oliver,3,21,6,12,2,14,2,8,0,5
Christian Moraes,669,3,1758,0,36140,5,2112,109,135,1650
Blake Leidler,3,1,0,4,1,3,0,1,2,0
Cody Anderson,8,31,18,17,4,17,13,11,22,10
Josh Smillie ,4,636,6,245,12,167,20,75,53,44
Noah Mraz,7,9,3,14,3,10,9,4,3,3
Charlie Edwards,8,55,14,46,14,31,5,29,30,6
Joel Cochran,1,5,0,4,3,2,2,4,0,0
Josaia Delana,8,17,4,11,5,7,2,6,4,5
Cooper Bell,4,14,14,6,2,5,4,7,16,2
Malakai Champion,0,4,9,3,2,4,3,3,2,2
Hugh Boxshall,14,1310,17,466,76,244,46,154,61,71
Xavier Walsh,3,4,0,8,3,3,4,6,4,2
Kayle Gerreyn ,5,33,4,37,10,34,6,24,4,11
Ricky Mentha ,8,14,25,12,3,11,9,8,12,8
Bailey Macdonald,3,6,1,5,0,3,0,0,0,2
Will Lorenz,3,38,1,23,0,25,6,11,5,7
Archer Day-Wicks,5,29,16,14,12,17,11,7,28,3
Luke Urquhart,12,19,9,14,6,9,4,8,8,1
Leonardo Lombard,1,69,2,67,2,60,0,25,0,16
Lachlan Gulbin ,0,1,3,0,1,2,2,0,0,1
Will McLachlan,95,3,93,7,365,8,60,17,32,32
Ryan Maric,39,66,218,19,7450,7,5777,19,760,80
Cooper Hynes,1,13,0,9,2,6,378,3,3,14
Jesse Dattoli,0,19,5,6,2,6,0,6,1,5
Oliver Sestan,0,4,6,1,0,4,0,2,1,1
Alixzander Tauru,2,142,3,64,1,45,5,26,6,8
Taylor Goad,5,8,2,6,6,2,6,3,2,3
Finnbar Maley,24,30,59,27,32,26,13,20,12,6
James Trezise,5,10,1,19,2,4,3,9,3,2
Jobe Shanahan,1,10,1,8,0,7,1,4,3,3
River Stevens,6,12,19,9,4,9,8,6,12,1
Tew Jiath,8,28,5,50,4,33,6,23,19,12
Rhys Unwin,0,6,2,2,0,4,2,3,1,0
Phoenix Gothard,2,5,8,5,1,4,2,6,3,2
Jack Whitlock,1,10,3,9,2,11,3,2,4,5
Patrick Retschko,2,3,0,1,1,1,1,3,3,0
Calsher Dear,2,25,2,19,1,14,0,21,1,9
Taj Hotton,2,137,5,69,1,41,0,35,0,13
Cooper Lord,37,33,2,294,19,63,10,76,13,15
Luke Kennedy,2,13,0,13,4,4,0,7,7,4
Lennox Hoffman,5,3,0,2,1,2,1,2,1,0
James Leake,60,5334,80,3268,46,5136,74,2400,55,844
Keighton Matofai-Forbes,0,1,0,1,0,4,0,0,2,0
Logan Smith,2,2,0,1,1,2,1,1,0,1
Cody Angove ,5,178,62,85,8,97,13,64,5,23
Hamish Davis,7,32,59,18,374,12,915,11,231,15
Joe Fonti,1,12,0,12,3,12,1,9,1,4
Zane Zakostelsky,14,20,14,16,10,11,12,13,30,12
William Hayes,14,21,80,16,9,25,11,14,14,6
James O'Donnell,4,55,4,29,40,2,9,5,5,7
Nathan Wardius,0,3,5,0,2,2,4,3,4,1
Josh Dolan,27,110,19,83,48,65,153,42,159,11
Ty Gallop,3,13,8,15,0,15,2,10,0,2
Rob Monahan,0,1,0,2,0,2,1,2,2,0
Liam O'Connell,445,278,911,137,55,1689,25,898,26,223
Oliver Hayes-Brown,2,5,1,4,3,4,3,2,4,1
Karl Gallagher,5,4,3,6,0,15,1,9,3,2
Jack Hutchinson,84,990,28,581,3,295,217,89,26,37
Campbell Gray,7,23,14,14,6,17,44,11,28,6
Sam Davidson,282,110,292,84,3280,22,860,79,388,2285
Zak Evans,3,8,3,2,0,3,0,3,1,3
Jacob Moss,3,4,1,0,2,3,1,5,7,0
Jaime Uhr-Henry,4,14,5,9,15,10,17,6,15,4
Matt Hill,6,6,3,7,1,6,4,8,1,2
Cillian Burke,0,1,0,1,1,1,0,0,1,2
Matt Duffy,0,1,0,2,1,2,0,2,3,0
Eamonn Armstrong,9,5,1,8,1,9,5,7,10,1
Josh Lai,6,11,3,6,5,7,4,3,8,3
