player_name,round_2_in,round_2_out,round_3_in,round_3_out,round_4_in,round_4_out,round_5_in,round_5_out,round_6_in,round_6_out
Nick Holman,4,54,17,9,6,45,29,24,1,19
Daniel McStay,588,3,38,183,64,22,58,24,16,73
Reilly O'Brien,58,24,54,57,47,42,81,80,17,83
James Sicily,152,133,273,216,19,2652,91,247,81,79
James Harmes,11,30,3,54,30,8,162,6,6,113
Nic Newman,1,92,2,30,0,12,0,8,0,4
Jeremy Finlayson,66,1622,22,880,29,440,40,321,38,126
Toby Nankervis,277,16,29,169,31,58,134,35,59,29
Christian Petracca,300,78,142,422,24,1138,188,843,1374,123
Darcy Fort,58,154,26,106,155,50,38,164,31,94
Ed Langdon,7,10,0,18,14,3,6,13,33,0
Liam Duggan,5,80,14,72,9,101,11,45,8,15
Touk Miller,6,96,52,6,162,0,121,11,52,13
Jayden Laverde,0,21,0,14,0,7,0,3,0,3
Jake Lever,210,7,21,134,3,320,1,219,0,62
Darcy Moore,165,77,41,338,90,42,43,119,26,108
Peter Wright,0,21,0,6,0,4,0,7,0,2
Marc Pittonet,1,40,0,23,1,8,1,6,4,5
Oleg Markov,0,35,3,8,0,10,1,3,1,4
Alex Pearce,49,48,71,53,60,60,35,75,25,32
Jade Gresham,11,20,10,6,7,18,13,2,17,1
Callum Ah Chee,16,28,46,5,10,16,16,23,30,5
Shane McAdam,0,4,0,4,0,1,0,1,0,0
Lachie Weller,6,51,54,3,5,43,3,52,3,29
Isaac Heeney,65,56,10,1310,48,125,40,213,44,53
Kyle Langford,4,240,0,131,0,44,0,47,0,14
Tom Barrass,98,118,89,173,18,561,34,124,13,75
Darcy Cameron,70,793,7,1872,105,67,1049,16,1519,7
Charlie Cameron,3,350,7,120,19,36,12,43,11,12
Patrick Cripps,173,67,171,282,36,403,109,592,55,390
Rory Lobb,6,121,30,26,17,29,18,46,14,16
Aaron Francis,1,21,1,12,1,5,0,4,0,2
Jack Graham,312,95,708,96,75,166,32,243,135,38
Wayne Milera,18,242,178,15,28,164,27,106,51,17
Billy Frampton,5,29,1,40,119,9,22,20,19,15
Darcy Byrne-Jones,9,27,25,5,19,9,1,100,0,12
Zaine Cordy,8,117,2,96,1,43,4,48,1,14
Zak Jones,5,19,121,0,26,8,8,54,1,40
Brayden Maynard,47,24,10,161,30,20,42,45,15,52
Zach Merrett,77,239,546,26,36,1349,2267,24,5521,4
Anthony Scott,1,35,2,24,0,17,0,15,3,6
Jayden Short,243,338,251,509,423,121,234,175,344,50
Sam Switkowski,1,64,0,29,1,17,1,6,1,0
Ryan Burton,6,20,1,57,0,57,0,22,0,2
Jordan Dawson,1008,25,4013,11,486,106,1724,33,125,279
Jordon Sweet,173,47,58,114,192,45,143,79,119,19
Bailey Williams,3,4,4,7,7,1,2,4,0,1
Dan Butler,0,24,1,22,0,17,0,13,0,4
Rowan Marshall,13,1932,1254,54,877,52,539,118,93,211
Oscar McDonald,6,29,1,27,3,11,1,10,4,5
Harry Himmelberg,7,138,71,8,352,4,296,13,8,67
Dougal Howard,0,13,0,4,0,3,1,3,0,2
Blake Hardwick,53,11,64,9,46,78,202,15,9,50
Brayden Fiorini,0,4,0,2,0,1,0,1,0,0
Darcy Tucker,5,58,8,18,36,5,40,3,5,12
Darcy Parish,0,34,0,11,1,8,0,5,0,8
Tom Cole,47,0,17,16,2,15,0,57,0,14
Jacob Weitering,236,12,88,53,54,44,59,96,20,73
Josh Dunkley,1230,4,1555,22,1315,25,3191,27,245,56
Shaun Mannagh,0,56,4,19,15,7,71,1,2,10
Matt Flynn,53,503,20,592,57,386,6,245,28,78
Jacob Hopper,8,31,2,73,4,17,39,5,38,1
Callum Mills,0,346,5,101,3,110,2,79,1,23
Ben Long,3,7,26,2,17,3,17,1,39,0
Corey Wagner,33,38,107,17,53,105,2,514,1,118
Ben Keays,23,26,890,3,418,6,71,44,23,25
Eric Hipwood,25,32,10,10,6,22,1,35,14,4
Sam Powell-Pepper,25,787,191,24,46,101,48,53,29,57
Shai Bolton,146,344,59,177,40,190,153,85,102,36
Jy Simpkin,2815,6,956,85,3205,21,931,153,841,26
Mabior Chol,62,13,41,28,5,123,11,37,6,48
Jordan De Goey,20,24,6,15,22,4,5,48,7,20
Dan Houston,342,27,23,1224,138,71,8,1458,6,182
Jayden Hunt,14,181,12,54,19,37,15,59,2,30
Tom Atkins,20,1,40,2,64,0,98,6,24,12
Jack Sinclair,77,192,2276,31,3368,7,1488,48,1111,33
Harris Andrews,21,249,63,23,69,15,34,82,23,23
Matt Guelfi,0,22,1,12,0,3,1,2,0,1
Jake Waterman,3,534,4,368,1,184,7,103,7,27
Marty Hore,1,12,0,10,1,2,0,5,0,3
Clayton Oliver,150,445,557,77,503,125,748,117,110,322
Bailey Dale,165,4,736,7,111,99,73,92,30,274
Charlie Curnow,132,146,37,210,53,54,90,107,32,22
Lewis Melican,128,310,16,209,5,285,1,196,2,55
Tom Papley,30,155,5,120,3,162,3,245,1,64
Brennan Cox,11,43,9,15,6,22,6,9,4,5
Mason Redman,12,8,13,21,4,60,5,11,10,9
Will Hayward,10,25,0,78,8,16,19,7,1,12
Peter Ladhams,75,16,12,45,143,6,169,16,50,25
Tyson Stengle,53,21,58,22,3,80,4,102,3,96
Lewis Young,0,22,10,5,19,3,10,13,4,9
Ryan Gardner,5,15,4,15,8,15,2,14,2,4
Conor McKenna,5,7,3,15,3,15,0,7,1,4
Griffin Logue,6,363,0,143,22,56,38,19,1,13
Ash Johnson,1,10,0,3,0,7,0,7,0,3
Andrew McGrath,169,11,44,85,1,536,5,66,7,14
Oliver Florent,14,29,2,134,3,16,15,7,15,7
Jack Scrimshaw,3,858,0,216,2,51,3,38,0,19
Will Brodie,6,26,3,20,3,25,1,15,4,9
Ben Ainsworth,2,30,1,26,2,39,9,3,19,0
Jarrod Berry,90,1,400,2,22,36,12,92,6,46
Josh Battle,71,13,115,13,5,262,14,43,9,50
Sean Darcy,0,136,1,62,7,45,366,28,49,31
Tim Taranto,15,163,6,655,5,348,257,70,78,49
Bailey Banfield,6,19,1,22,3,10,4,5,2,7
Harry Perryman,74,20074,6,23203,35,2336,110,219,53,373
Will Setterfield,0,60,0,31,0,10,19,0,533,1
Jack Bowes,3,45,0,49,1,12,6,4,1,5
Changkuoth Jiath,29,42,85,9,12,71,55,30,40,20
Lachlan Sullivan,9,36,4,29,2,25,37,14,12,2
Cameron Zurhaar,326,3,154,20,2,81,12,81,0,79
Ivan Soldo,4,35,13,21,13,24,0,21,0,7
Mason Cox,132,49,27,88,31,57,36,89,26,83
Luke Ryan,19,410,40,151,19,273,167,56,8,249
Buku Khamis,36,32,157,5,185,7,39,33,8,19
Michael Frederick,90,5,24,38,20,27,51,22,16,10
Brad Close,25,9,7,27,10,20,18,12,6,10
Darcy Fogarty,139,2,106,5,31,51,52,33,27,10
Tom Sparrow,58,0,33,5,21,14,4,60,4,39
Jy Farrar,1,15,5,11,4,5,1,5,1,3
Quinton Narkle,2,9,3,12,0,18,0,11,0,0
Zac Fisher,1,39,2,34,2,18,9,27,2,1
Callum Coleman-Jones,0,5,0,4,0,4,0,2,0,2
Chris Burgess,0,0,0,2,0,0,1,2,0,1
John Noble,1,886,44,47,1240,3,173,18,596,4
Liam Baker,27,663,133,99,57,122,144,105,49,111
Lachie Schultz,18,6,60,28,93,7,56,115,5,86
Lachlan Bramble,9,3,1,30,4,4,8,8,7,4
Mitch Lewis,1,5,0,3,0,0,0,1,0,0
Tom Doedee,2,138,1,79,0,33,7,30,4,16
Jack Henry,1497,2,1023,26,213,213,24,1703,0,420
