player_id,round_2_in,round_2_out,round_3_in,round_3_out,round_4_in,round_4_out,round_5_in,round_5_out,round_6_in,round_6_out
291856,0,10,0,7,0,3,0,3,0,1
291902,8,2,2,7,10,17,3,35,5,11
291969,6,108,9,14,19,40,7,77,9,47
291975,21,185,347,10,88,44,278,17,88,24
291978,1,8,0,5,1,9,0,2,0,1
292128,0,35,0,13,0,10,0,8,0,4
293222,43,5,29,31,31,16,24,32,155,14
293535,166,474,354,56,350,114,1509,29,138,98
293581,0,32,0,18,0,11,0,9,0,4
293738,17,211,17,165,8,110,13,65,6,35
293801,20,20,6,99,8,18,8,54,8,17
293813,15,507,35,73,14,116,21,162,4,125
293845,208,26,23,246,18,596,29,84,19,62
293871,21,7,3,99,21,13,15,18,9,6
293883,4,80,2,34,0,35,0,22,0,7
293884,4,20,13,31,15,9,1,14,0,6
293957,28,81,3,379,38,55,114,38,144,13
294013,0,25,2,13,3,10,1,9,1,6
294036,35,6,467,3,535,4,2398,6,1091,4
294101,1,18,0,8,0,5,3,2,0,1
294305,16,2157,683,75,1221,30,3916,13,719,51
294318,20,4,41,4,15,5,8,21,3,18
294469,20,130,41,38,43,57,52,64,12,82
294472,0,7,0,8,2,4,0,3,0,1
294508,522,3,272,22,59,36,114,48,3,103
294592,53,96,87,18,395,4,167,165,49,105
294596,103,2,5,119,10,15,2,50,5,39
294613,160,4,182,9,281,51,48,137,17,116
294643,1,74,4,16,2,23,1,29,1,1
294674,24,12,11,32,4,45,6,36,9,11
294685,46,282,34,226,39,240,81,56,13,39
294859,16,64,26,46,3,284,0,216,0,38
295067,3,39,1,24,0,21,1,15,1,4
295136,964,59,2085,39,1636,33,970,78,314,46
